"Data,""Último"",""Abertura"",""Máxima"",""Mínima"",""Vol."",""Var%"""
"03.04.2024,""127.318"",""127.546"",""127.694"",""126.181"",""11,03M"",""-0,18%"""
"02.04.2024,""127.549"",""126.990"",""127.654"",""126.669"",""9,07M"",""0,44%"""
"01.04.2024,""126.990"",""128.106"",""128.659"",""126.772"",""9,37M"",""-0,87%"""
"28.03.2024,""128.106"",""127.689"",""128.364"",""127.270"",""9,94M"",""0,33%"""
"27.03.2024,""127.691"",""126.863"",""127.756"",""126.223"",""9,92M"",""0,65%"""
"26.03.2024,""126.863"",""126.931"",""127.193"",""126.591"",""9,44M"",""-0,05%"""
"25.03.2024,""126.931"",""127.027"",""127.224"",""126.750"",""8,06M"",""-0,08%"""
"22.03.2024,""127.027"",""128.159"",""128.159"",""126.879"",""9,37M"",""-0,88%"""
"21.03.2024,""128.159"",""129.125"",""129.556"",""128.093"",""9,57M"",""-0,75%"""
"20.03.2024,""129.125"",""127.534"",""129.210"",""127.349"",""10,82M"",""1,25%"""
"19.03.2024,""127.529"",""126.955"",""128.000"",""126.955"",""11,18M"",""0,45%"""
"18.03.2024,""126.954"",""126.758"",""127.540"",""126.272"",""10,51M"",""0,17%"""
"15.03.2024,""126.742"",""127.682"",""127.957"",""126.502"",""14,99M"",""-0,74%"""
"14.03.2024,""127.690"",""127.992"",""128.256"",""127.192"",""9,29M"",""-0,25%"""
"13.03.2024,""128.006"",""127.668"",""128.530"",""127.439"",""8,84M"",""0,26%"""
"12.03.2024,""127.668"",""126.124"",""128.039"",""126.121"",""9,48M"",""1,22%"""
"11.03.2024,""126.124"",""127.068"",""127.068"",""126.065"",""8,90M"",""-0,75%"""
"08.03.2024,""127.071"",""128.335"",""128.338"",""125.802"",""11,94M"",""-0,99%"""
"07.03.2024,""128.340"",""128.890"",""129.188"",""128.033"",""7,35M"",""-0,43%"""
"06.03.2024,""128.890"",""128.099"",""129.323"",""128.099"",""11,06M"",""0,62%"""
"05.03.2024,""128.098"",""128.336"",""128.989"",""127.823"",""9,69M"",""-0,19%"""
"04.03.2024,""128.341"",""129.176"",""129.307"",""128.278"",""7,97M"",""-0,65%"""
"01.03.2024,""129.180"",""129.026"",""129.716"",""128.717"",""9,77M"",""0,12%"""
"29.02.2024,""129.020"",""130.155"",""130.155"",""128.669"",""12,00M"",""-0,87%"""
"28.02.2024,""130.155"",""131.685"",""131.685"",""129.771"",""9,05M"",""-1,16%"""
"27.02.2024,""131.689"",""129.613"",""131.696"",""129.613"",""10,05M"",""1,61%"""
"26.02.2024,""129.609"",""129.417"",""129.978"",""129.077"",""7,44M"",""0,15%"""
"23.02.2024,""129.419"",""130.240"",""130.624"",""129.077"",""9,23M"",""-0,63%"""
"22.02.2024,""130.241"",""130.035"",""130.829"",""129.971"",""10,77M"",""0,16%"""
"21.02.2024,""130.032"",""129.916"",""130.034"",""129.359"",""12,59M"",""0,09%"""
"20.02.2024,""129.916"",""129.033"",""129.916"",""128.326"",""12,24M"",""0,68%"""
"19.02.2024,""129.036"",""128.720"",""129.036"",""128.097"",""5,80M"",""0,24%"""
"16.02.2024,""128.726"",""127.809"",""129.069"",""127.653"",""10,12M"",""0,72%"""
"15.02.2024,""127.804"",""127.018"",""127.824"",""126.932"",""10,98M"",""0,62%"""
"14.02.2024,""127.018"",""128.026"",""128.026"",""126.663"",""7,75M"",""-0,79%"""
"09.02.2024,""128.026"",""128.216"",""128.896"",""127.579"",""12,12M"",""-0,15%"""
"08.02.2024,""128.217"",""129.950"",""130.126"",""127.912"",""13,63M"",""-1,33%"""
"07.02.2024,""129.950"",""130.412"",""130.552"",""129.426"",""15,43M"",""-0,36%"""
"06.02.2024,""130.416"",""127.593"",""130.417"",""127.593"",""13,78M"",""2,21%"""
"05.02.2024,""127.593"",""127.182"",""127.834"",""126.443"",""9,64M"",""0,32%"""
"02.02.2024,""127.182"",""128.471"",""128.878"",""126.628"",""10,98M"",""-1,01%"""
"01.02.2024,""128.481"",""127.752"",""128.481"",""127.284"",""10,23M"",""0,57%"""
"31.01.2024,""127.752"",""127.402"",""129.558"",""127.326"",""12,50M"",""0,28%"""
"30.01.2024,""127.402"",""128.492"",""128.492"",""127.105"",""10,04M"",""-0,86%"""
"29.01.2024,""128.503"",""128.970"",""129.068"",""127.853"",""8,76M"",""-0,36%"""
"26.01.2024,""128.967"",""128.196"",""129.252"",""127.869"",""8,51M"",""0,62%"""
"25.01.2024,""128.169"",""127.815"",""128.697"",""127.803"",""8,76M"",""0,28%"""
"24.01.2024,""127.816"",""128.275"",""129.446"",""127.680"",""8,82M"",""-0,35%"""
"23.01.2024,""128.263"",""126.612"",""128.331"",""126.612"",""9,37M"",""1,31%"""
"22.01.2024,""126.602"",""127.636"",""127.843"",""125.876"",""9,51M"",""-0,81%"""
"19.01.2024,""127.636"",""127.319"",""127.820"",""126.533"",""11,96M"",""0,25%"""
"18.01.2024,""127.316"",""128.524"",""129.047"",""127.316"",""12,46M"",""-0,94%"""
"17.01.2024,""128.524"",""129.293"",""129.296"",""128.312"",""9,95M"",""-0,60%"""
"16.01.2024,""129.294"",""131.515"",""131.517"",""129.147"",""11,91M"",""-1,69%"""
"15.01.2024,""131.521"",""130.988"",""131.606"",""130.253"",""5,75M"",""0,41%"""
"12.01.2024,""130.988"",""130.652"",""131.927"",""130.410"",""10,66M"",""0,26%"""
"11.01.2024,""130.649"",""130.841"",""131.308"",""129.898"",""9,76M"",""-0,15%"""
"10.01.2024,""130.841"",""131.447"",""131.628"",""130.438"",""8,96M"",""-0,46%"""
"09.01.2024,""131.447"",""132.424"",""132.426"",""131.203"",""9,29M"",""-0,74%"""
"08.01.2024,""132.427"",""132.023"",""132.498"",""131.015"",""8,50M"",""0,31%"""
"05.01.2024,""132.023"",""131.218"",""132.635"",""130.579"",""9,20M"",""0,61%"""
"04.01.2024,""131.226"",""132.831"",""132.885"",""131.024"",""8,97M"",""-1,21%"""
"03.01.2024,""132.834"",""132.697"",""133.576"",""132.250"",""8,70M"",""0,10%"""
"02.01.2024,""132.697"",""134.186"",""134.195"",""132.095"",""8,44M"",""-1,11%"""
